"brand","total_registered_users","avg_app_open_percentage"
"Xiaomi","869562617","0.26"
"Samsung","671603711","0.19"
"Vivo","625415019","0.17"
"Oppo","420250245","0.12"
"Others","282950234","0.09"
"Realme","219973222","0.06"
"Apple","95947314","0.03"
"Motorola","73340734","0.02"
"OnePlus","63677211","0.02"
"Huawei","57129693","0.02"
"Lenovo","42564548","0.02"
"Tecno","12388623","0.01"
"Micromax","11132859","0.02"
"Infinix","5142870","0.01"
"Asus","4295498","0.02"
"Gionee","3082772","0.02"
"Lava","1530109","0.02"
"HMD Global","336632","0.01"
"Lyf","1271","0.02"
"COOLPAD","10","0.02"
