"state","district","total_transactions","total_amount"
"karnataka","bengaluru urban district","1117691","1491957727.0"
"maharashtra","pune district","396173","534030810.0"
"maharashtra","thane district","260578","304070981.0"
"tamil-nadu","chennai district","251081","272805547.0"
"maharashtra","mumbai suburban district","211311","236599457.0"
"telangana","rangareddy district","206714","297358756.0"
"telangana","medchal malkajgiri district","178028","241346337.0"
"rajasthan","jaipur district","177296","245957468.0"
"telangana","hyderabad district","169470","206522027.0"
"haryana","gurugram district","168368","214086124.0"
"west-bengal","north twenty four parganas district","155839","200825955.0"
"kerala","ernakulam district","146403","224516235.0"
"west-bengal","kolkata district","142018","167978549.0"
"tamil-nadu","chengalpattu district","126679","161675831.0"
"maharashtra","nagpur district","125525","167071676.0"
"andhra-pradesh","visakhapatnam district","125230","141996713.0"
"tamil-nadu","coimbatore district","119765","165350323.0"
"tamil-nadu","thiruvallur district","119177","138482474.0"
"gujarat","surat district","119086","130894341.0"
"uttar-pradesh","ghaziabad district","116789","158491729.0"
"bihar","patna district","116594","141039912.0"
"gujarat","ahmadabad district","114972","138432388.0"
"uttar-pradesh","gautam buddha nagar district","106329","142277649.0"
"kerala","thiruvananthapuram district","103428","165005191.0"
"madhya-pradesh","indore district","102655","144207492.0"
"karnataka","mysuru district","96921","141953903.0"
"delhi","west district","92609","114243053.0"
"kerala","malappuram district","89482","138697345.0"
"kerala","kozhikode district","88360","128681471.0"
"maharashtra","nashik district","85983","123445596.0"
"haryana","faridabad district","83357","103884322.0"
"uttar-pradesh","lucknow district","80028","127936264.0"
"maharashtra","mumbai district","79243","86556884.0"
"andhra-pradesh","krishna district","77040","85347172.0"
"delhi","new delhi district","71428","95971498.0"
"tamil-nadu","kancheepuram district","70770","84035852.0"
"odisha","khordha district","70467","92143011.0"
"andhra-pradesh","guntur district","67484","76404376.0"
"maharashtra","raigad district","67398","95794263.0"
"delhi","central district","65915","79625038.0"
"delhi","north west district","65289","80717630.0"
"delhi","south east delhi district","65167","76854716.0"
"tamil-nadu","tiruppur district","63554","83225943.0"
"kerala","thrissur district","63301","102062760.0"
"andhra-pradesh","east godavari district","63018","75024229.0"
"maharashtra","solapur district","62562","79987298.0"
"maharashtra","palghar district","61357","73454021.0"
"assam","kamrup metropolitan district","60952","83494111.0"
"karnataka","belagavi district","60197","87400169.0"
"uttar-pradesh","kanpur nagar district","59197","82204985.0"
"kerala","kollam district","58628","96995916.0"
"west-bengal","howrah district","58495","70543755.0"
"delhi","south west district","58465","78852906.0"
"karnataka","dharwad district","58103","79965979.0"
"west-bengal","south twenty four parganas district","57775","70952944.0"
"andhra-pradesh","chittoor district","57729","74833670.0"
"jharkhand","ranchi district","55193","77771355.0"
"madhya-pradesh","bhopal district","54989","93446961.0"
"delhi","north district","52125","66545381.0"
"kerala","alappuzha district","51642","82056919.0"
"west-bengal","hooghly district","49809","60946552.0"
"kerala","kannur district","49801","80169963.0"
"jharkhand","east singhbhum district","48945","59492736.0"
"karnataka","dakshina kannada district","47915","70756945.0"
"tamil-nadu","madurai district","47820","57159514.0"
"delhi","south district","47198","60286971.0"
"uttar-pradesh","meerut district","46610","73101662.0"
"karnataka","bengaluru rural district","46537","71267379.0"
"west-bengal","paschim bardhaman district","46412","61709669.0"
"telangana","sangareddy district","46331","67357244.0"
"chhattisgarh","raipur district","45705","61310011.0"
"delhi","east district","44883","53978007.0"
"kerala","palakkad district","44102","71196502.0"
"maharashtra","aurangabad district","43610","45721373.0"
"uttarakhand","dehradun district","42243","69805370.0"
"karnataka","tumakuru district","42091","65969584.0"
"kerala","kottayam district","41259","71631448.0"
"maharashtra","ahmednagar district","41202","55555217.0"
"andhra-pradesh","spsr nellore district","40440","43580405.0"
"rajasthan","alwar district","39359","52366316.0"
"andhra-pradesh","west godavari district","39263","45467706.0"
"uttar-pradesh","prayagraj district","39204","61087739.0"
"karnataka","ballari district","38364","50190159.0"
"karnataka","shivamogga district","37954","59131450.0"
"delhi","shahdara district","37370","45380324.0"
"delhi","north east district","36775","41895395.0"
"jharkhand","dhanbad district","36544","46792065.0"
"tamil-nadu","krishnagiri district","36502","52126951.0"
"tamil-nadu","salem district","36285","48878392.0"
"west-bengal","paschim medinipur district","35829","45011523.0"
"karnataka","davanagere district","35625","49432489.0"
"gujarat","vadodara district","35567","50397968.0"
"andhra-pradesh","prakasam district","35336","35381478.0"
"maharashtra","kolhapur district","35161","55383786.0"
"rajasthan","jodhpur district","34431","55283201.0"
"karnataka","kalaburagi district","34009","48052231.0"
"haryana","rewari district","33946","47168927.0"
"punjab","sas nagar district","33903","56932161.0"
"bihar","muzaffarpur district","33547","39072374.0"
"uttar-pradesh","gorakhpur district","32824","49158173.0"
"telangana","warangal urban district","32713","36322996.0"
"andhra-pradesh","ysr district","32574","36507216.0"
"west-bengal","nadia district","32197","42052638.0"
"goa","north goa district","32008","46287267.0"
"west-bengal","purba bardhaman district","31975","39714539.0"
"andhra-pradesh","anantapur district","31841","39244683.0"
"punjab","ludhiana district","30998","43907139.0"
"uttar-pradesh","agra district","30962","48945582.0"
"gujarat","ahmedabad district","30452","42718378.0"
"maharashtra","jalgaon district","29797","39966030.0"
"karnataka","hassan district","29507","50841930.0"
"uttar-pradesh","varanasi district","29425","42711355.0"
"madhya-pradesh","gwalior district","29286","41151442.0"
"haryana","sonipat district","28796","46317426.0"
"karnataka","vijayapura district","28483","37633687.0"
"west-bengal","purba medinipur district","28263","35344347.0"
"rajasthan","sikar district","27916","46540895.0"
"goa","south goa district","27864","37442738.0"
"uttar-pradesh","moradabad district","27851","40068194.0"
"gujarat","rajkot district","27739","37255992.0"
"andhra-pradesh","kurnool district","27527","32250086.0"
"west-bengal","murshidabad district","27270","31928704.0"
"tamil-nadu","tiruchirappalli district","27158","36932354.0"
"uttar-pradesh","bareilly district","27013","40284931.0"
"tamil-nadu","erode district","27010","38893506.0"
"rajasthan","kota district","26607","36794593.0"
"karnataka","ramanagara district","26540","38727041.0"
"west-bengal","maldah district","26376","32721539.0"
"chhattisgarh","durg district","26319","38778924.0"
"maharashtra","satara district","26287","44928295.0"
"maharashtra","amravati district","25978","36699366.0"
"west-bengal","darjiling district","25950","34394795.0"
"haryana","hisar district","25844","41234237.0"
"karnataka","uttara kannada district","25774","41243265.0"
"odisha","cuttack district","25716","31675613.0"
"gujarat","kachchh district","25566","31276028.0"
"kerala","idukki district","25518","46991591.0"
"gujarat","gandhinagar district","25352","38562663.0"
"karnataka","kolar district","24869","40706463.0"
"gujarat","valsad district","24779","33652969.0"
"jammu-&-kashmir","jammu district","24549","43604838.0"
"andhra-pradesh","vizianagaram district","24529","24963313.0"
"madhya-pradesh","jabalpur district","24476","36745335.0"
"bihar","vaishali district","24447","29593819.0"
"jharkhand","bokaro district","24275","34173635.0"
"maharashtra","latur district","24255","31498044.0"
"karnataka","mandya district","24236","37743313.0"
"uttar-pradesh","gautambuddha nagar district","23958","38759391.0"
"haryana","jhajjar district","23780","38071007.0"
"puducherry","puducherry district","23684","30933194.0"
