"state","district","total_registrations"
"karnataka","bengaluru urban district","303663088"
"maharashtra","pune district","199346186"
"maharashtra","thane district","122501643"
"rajasthan","jaipur district","119739290"
"maharashtra","mumbai suburban district","119012886"
"telangana","hyderabad district","101824322"
"telangana","rangareddy district","90261099"
"gujarat","ahmadabad district","81767310"
"gujarat","surat district","77469508"
"west-bengal","north twenty four parganas district","77396295"
"telangana","medchal malkajgiri district","76477237"
"haryana","gurugram district","70791407"
"andhra-pradesh","visakhapatnam district","69880470"
"maharashtra","nashik district","62791515"
"tamil-nadu","chennai district","60490490"
"uttar-pradesh","gautam buddha nagar district","59896693"
"bihar","patna district","59427969"
"uttar-pradesh","lucknow district","56803438"
"west-bengal","kolkata district","56032093"
"uttar-pradesh","ghaziabad district","55331424"
"madhya-pradesh","indore district","55152189"
"maharashtra","nagpur district","54144525"
"andhra-pradesh","east godavari district","53118299"
"andhra-pradesh","guntur district","52953699"
"andhra-pradesh","krishna district","52013368"
"andhra-pradesh","chittoor district","49392488"
"delhi","west district","48243661"
"odisha","khordha district","44276414"
"maharashtra","mumbai district","44190076"
"madhya-pradesh","bhopal district","41701843"
"maharashtra","ahmednagar district","40829447"
"tamil-nadu","thiruvallur district","40468327"
"tamil-nadu","coimbatore district","39627880"
"maharashtra","aurangabad district","39418319"
"haryana","faridabad district","39401456"
"andhra-pradesh","kurnool district","38568071"
"tamil-nadu","chengalpattu district","38351134"
"andhra-pradesh","anantapur district","37923829"
"maharashtra","palghar district","37689267"
"west-bengal","south twenty four parganas district","37217141"
"maharashtra","solapur district","36650383"
"west-bengal","murshidabad district","36507576"
"maharashtra","raigad district","36229023"
"uttar-pradesh","prayagraj district","36168670"
"andhra-pradesh","west godavari district","35626387"
"punjab","ludhiana district","34966346"
"rajasthan","alwar district","34761857"
"delhi","south east delhi district","34594607"
"uttar-pradesh","kanpur nagar district","34310962"
"karnataka","belagavi district","34297782"
"delhi","north west district","34039892"
"kerala","ernakulam district","33710328"
"uttar-pradesh","varanasi district","33686695"
"karnataka","mysuru district","33079121"
"gujarat","vadodara district","32391669"
"delhi","central district","32332539"
"west-bengal","hooghly district","32195887"
"delhi","new delhi district","31889595"
"maharashtra","kolhapur district","31792969"
"andhra-pradesh","prakasam district","31642406"
"uttar-pradesh","agra district","30609405"
"rajasthan","jodhpur district","30332539"
"andhra-pradesh","ysr district","30313329"
"andhra-pradesh","spsr nellore district","29774239"
"west-bengal","howrah district","29557607"
"west-bengal","nadia district","27923114"
"delhi","north district","27866902"
"maharashtra","jalgaon district","27470350"
"west-bengal","purba medinipur district","27426858"
"jharkhand","ranchi district","27049234"
"delhi","south west district","26289099"
"uttarakhand","dehradun district","25777066"
"tamil-nadu","kancheepuram district","25679597"
"maharashtra","satara district","25211544"
"chhattisgarh","raipur district","25009618"
"west-bengal","paschim medinipur district","24820614"
"uttar-pradesh","gorakhpur district","24765273"
"odisha","cuttack district","24364435"
"delhi","east district","24226025"
"tamil-nadu","tiruppur district","23863842"
"telangana","sangareddy district","23746566"
"andhra-pradesh","srikakulam district","23428433"
"rajasthan","sikar district","23374615"
"bihar","muzaffarpur district","23309202"
"uttar-pradesh","meerut district","23189043"
"delhi","south district","23188793"
"west-bengal","paschim bardhaman district","23052674"
"west-bengal","purba bardhaman district","22987752"
"kerala","thiruvananthapuram district","22551816"
"odisha","ganjam district","22467289"
"karnataka","tumakuru district","22333538"
"madhya-pradesh","gwalior district","22092752"
"karnataka","dakshina kannada district","22066932"
"bihar","purbi champaran district","21922089"
"karnataka","dharwad district","21619100"
"maharashtra","sangli district","21525349"
"gujarat","rajkot district","21424909"
"rajasthan","ajmer district","21400031"
"rajasthan","kota district","21282004"
"tamil-nadu","salem district","21272861"
"uttar-pradesh","bareilly district","21139881"
"karnataka","ballari district","20692586"
"jharkhand","dhanbad district","20554096"
"andhra-pradesh","vizianagaram district","20540466"
"maharashtra","amravati district","20440379"
"kerala","kozhikode district","20246345"
"madhya-pradesh","jabalpur district","20198174"
"kerala","malappuram district","20100557"
"rajasthan","bhilwara district","19818567"
"delhi","shahdara district","19748436"
"karnataka","bengaluru rural district","19715861"
"rajasthan","nagaur district","19698186"
"maharashtra","nanded district","19651956"
"punjab","sas nagar district","19627740"
"gujarat","gandhinagar district","19216419"
"rajasthan","udaipur district","19130262"
"tamil-nadu","madurai district","19048714"
"uttar-pradesh","aligarh district","18734484"
"west-bengal","bankura district","18654241"
"assam","kamrup metropolitan district","18645953"
"bihar","gaya district","18644550"
"karnataka","kalaburagi district","18478130"
"uttarakhand","haridwar district","18273776"
"tamil-nadu","krishnagiri district","18178191"
"maharashtra","latur district","18092209"
"uttar-pradesh","jaunpur district","17709657"
"west-bengal","birbhum district","17646512"
"delhi","north east district","17605418"
"kerala","thrissur district","17448649"
"jharkhand","east singhbhum district","17301421"
"rajasthan","bikaner district","17292087"
"rajasthan","jhunjhunu district","17275377"
"uttar-pradesh","mathura district","17259788"
"gujarat","bharuch district","17108716"
"west-bengal","maldah district","16914429"
"maharashtra","beed district","16843786"
"telangana","warangal urban district","16811753"
"karnataka","vijayapura district","16705060"
"bihar","pashchim champaran district","16613630"
"maharashtra","buldhana district","16549880"
"gujarat","banas kantha district","16379466"
"haryana","hisar district","16356639"
"bihar","samastipur district","16279654"
"gujarat","kachchh district","16275144"
"madhya-pradesh","ujjain district","16234189"
"karnataka","kolar district","16182907"
"uttar-pradesh","saharanpur district","16173958"
"uttar-pradesh","azamgarh district","16087165"
"bihar","saran district","16078850"
"bihar","darbhanga district","16025029"
"tamil-nadu","tiruchirappalli district","15991883"
"bihar","madhubani district","15943835"
"telangana","nalgonda district","15683818"
"uttarakhand","udham singh nagar district","15605155"
"gujarat","mahesana district","15602037"
"rajasthan","bharatpur district","15598691"
"odisha","baleshwar district","15360291"
"chhattisgarh","durg district","15291222"
"karnataka","davanagere district","15280127"
"gujarat","valsad district","15277714"
"haryana","sonipat district","15046466"
"telangana","khammam district","15030909"
"jharkhand","bokaro district","14964220"
"karnataka","shivamogga district","14888899"
"karnataka","hassan district","14847259"
"bihar","vaishali district","14801407"
"uttar-pradesh","bulandshahr district","14784053"
"bihar","bhagalpur district","14781525"
"telangana","nizamabad district","14650799"
"kerala","kannur district","14515709"
"odisha","sundargarh district","14186039"
"uttar-pradesh","ghazipur district","14156138"
"rajasthan","barmer district","14138947"
"kerala","palakkad district","14112651"
"kerala","kollam district","14091027"
"haryana","rewari district","14086541"
"uttar-pradesh","kushinagar district","14066456"
"bihar","siwan district","14006220"
"telangana","karimnagar district","13974893"
"gujarat","bhavnagar district","13973735"
"punjab","amritsar district","13935843"
"karnataka","mandya district","13869909"
"madhya-pradesh","sagar district","13741624"
"karnataka","bagalkote district","13731582"
"tamil-nadu","erode district","13722275"
"maharashtra","chandrapur district","13545861"
"rajasthan","dausa district","13532917"
"bihar","nalanda district","13512216"
"uttar-pradesh","deoria district","13484569"
"odisha","jajapur district","13387340"
"odisha","puri district","13326901"
"haryana","panipat district","13301486"
"rajasthan","churu district","13291893"
"madhya-pradesh","dhar district","13236461"
"uttar-pradesh","ballia district","13163479"
"karnataka","raichur district","13143731"
"punjab","jalandhar district","13122666"
"maharashtra","yavatmal district","13114293"
"uttar-pradesh","moradabad district","13009186"
"bihar","rohtas district","12962067"
"maharashtra","jalna district","12910733"
"chhattisgarh","bilaspur district","12903680"
"chandigarh","chandigarh district","12855589"
"uttar-pradesh","jhansi district","12832688"
"west-bengal","purulia district","12815515"
"punjab","patiala district","12795543"
"karnataka","bidar district","12604808"
"rajasthan","pali district","12536291"
"madhya-pradesh","rewa district","12456848"
"haryana","karnal district","12425810"
"uttar-pradesh","muzaffarnagar district","12365143"
"maharashtra","dhule district","12284622"
"madhya-pradesh","chhindwara district","12277464"
"uttar-pradesh","bijnor district","12200032"
"tamil-nadu","cuddalore district","12159405"
"kerala","alappuzha district","12074497"
"bihar","begusarai district","11983461"
"gujarat","anand district","11979511"
"west-bengal","uttar dinajpur district","11849518"
"karnataka","ramanagara district","11830181"
"rajasthan","ganganagar district","11571144"
"kerala","kottayam district","11511122"
"karnataka","udupi district","11341274"
"uttar-pradesh","firozabad district","11330729"
"odisha","bhadrak district","11284320"
"gujarat","ahmedabad district","11283238"
"maharashtra","akola district","11282343"
"madhya-pradesh","dewas district","11260978"
"tamil-nadu","tiruvannamalai district","11245302"
"madhya-pradesh","satna district","11211928"
"uttar-pradesh","sitapur district","11193970"
"odisha","kendujhar district","11186606"
"bihar","sitamarhi district","11125910"
"karnataka","chitradurga district","11055994"
"rajasthan","chittorgarh district","11039951"
"bihar","gopalganj district","10986496"
"bihar","bhojpur district","10834934"
"bihar","katihar district","10785291"
"telangana","bhadradri kothagudem district","10779038"
"maharashtra","parbhani district","10685958"
"haryana","jhajjar district","10648724"
"telangana","siddipet district","10579210"
"goa","north goa district","10577435"
"tamil-nadu","vellore district","10511812"
"karnataka","uttara kannada district","10405123"
"uttar-pradesh","kheri district","10404605"
"haryana","palwal district","10402430"
"uttar-pradesh","ayodhya district","10333128"
"tamil-nadu","thanjavur district","10300347"
"haryana","rohtak district","10282895"
"bihar","purnia district","10278644"
"tamil-nadu","dindigul district","10274338"
"madhya-pradesh","sehore district","10230848"
"odisha","mayurbhanj district","10185288"
"uttar-pradesh","pratapgarh district","10106140"
"jharkhand","hazaribagh district","10000490"
"west-bengal","darjiling district","9913457"
"rajasthan","tonk district","9913289"
"jammu-&-kashmir","jammu district","9907770"
"karnataka","chikkaballapura district","9907278"
"madhya-pradesh","ratlam district","9875131"
"rajasthan","hanumangarh district","9814608"
"maharashtra","osmanabad district","9783227"
"bihar","aurangabad district","9762597"
"himachal-pradesh","solan district","9709827"
"telangana","suryapet district","9701176"
"haryana","sirsa district","9686806"
"chhattisgarh","raigarh district","9487651"
"jharkhand","giridih district","9451946"
"tamil-nadu","namakkal district","9440093"
"gujarat","kheda district","9425972"
"tamil-nadu","dharmapuri district","9388535"
"haryana","ambala district","9388214"
"haryana","bhiwani district","9372096"
"west-bengal","koch bihar district","9348488"
"himachal-pradesh","kangra district","9328776"
"madhya-pradesh","morena district","9311761"
"rajasthan","sawai madhopur district","9239160"
"uttar-pradesh","maharajganj district","9170653"
"karnataka","haveri district","9054312"
"uttar-pradesh","gautambuddha nagar district","9026748"
