"state","district","registered_users"
"karnataka","bengaluru urban district","18127475"
"karnataka","bengaluru urban district","18101416"
"karnataka","bengaluru urban district","17566351"
"karnataka","bengaluru urban district","17506580"
"karnataka","bengaluru urban district","16895567"
"karnataka","bengaluru urban district","16382332"
"karnataka","bengaluru urban district","15812243"
"karnataka","bengaluru urban district","15290372"
"karnataka","bengaluru urban district","14654455"
"karnataka","bengaluru urban district","13997602"
"karnataka","bengaluru urban district","13342916"
"maharashtra","pune district","12734314"
"karnataka","bengaluru urban district","12707664"
"maharashtra","pune district","12392676"
"karnataka","bengaluru urban district","12038775"
"maharashtra","pune district","11964579"
"maharashtra","pune district","11546171"
"karnataka","bengaluru urban district","11321012"
"maharashtra","pune district","11135186"
"maharashtra","pune district","10780092"
"karnataka","bengaluru urban district","10604609"
"maharashtra","pune district","10396344"
"maharashtra","pune district","10037022"
"karnataka","bengaluru urban district","9955387"
"maharashtra","pune district","9622338"
"karnataka","bengaluru urban district","9286243"
"maharashtra","pune district","9194074"
"maharashtra","pune district","8757249"
"karnataka","bengaluru urban district","8611452"
"maharashtra","pune district","8331582"
"karnataka","bengaluru urban district","8028070"
"maharashtra","pune district","7880431"
"maharashtra","thane district","7591749"
"karnataka","bengaluru urban district","7564577"
"rajasthan","jaipur district","7522194"
"maharashtra","pune district","7398336"
"maharashtra","mumbai suburban district","7325715"
"maharashtra","thane district","7314981"
"maharashtra","thane district","7300941"
"rajasthan","jaipur district","7253881"
"maharashtra","thane district","7103828"
"maharashtra","mumbai suburban district","7055629"
"maharashtra","thane district","7044610"
"karnataka","bengaluru urban district","7016836"
"rajasthan","jaipur district","6983265"
"maharashtra","pune district","6915820"
"maharashtra","mumbai suburban district","6875379"
"maharashtra","thane district","6802106"
"maharashtra","mumbai suburban district","6796218"
"rajasthan","jaipur district","6745507"
"maharashtra","mumbai suburban district","6688601"
"maharashtra","mumbai suburban district","6560867"
"maharashtra","thane district","6552282"
"rajasthan","jaipur district","6490210"
"maharashtra","pune district","6481971"
"karnataka","bengaluru urban district","6383771"
"maharashtra","mumbai suburban district","6322778"
