"state","district","total_insurance_transactions"
"karnataka","bengaluru urban district","1117691"
"maharashtra","pune district","396173"
"maharashtra","thane district","260578"
"tamil-nadu","chennai district","251081"
"maharashtra","mumbai suburban district","211311"
"telangana","rangareddy district","206714"
"telangana","medchal malkajgiri district","178028"
"rajasthan","jaipur district","177296"
"telangana","hyderabad district","169470"
"haryana","gurugram district","168368"
"west-bengal","north twenty four parganas district","155839"
"kerala","ernakulam district","146403"
"west-bengal","kolkata district","142018"
"tamil-nadu","chengalpattu district","126679"
"maharashtra","nagpur district","125525"
"andhra-pradesh","visakhapatnam district","125230"
"tamil-nadu","coimbatore district","119765"
"tamil-nadu","thiruvallur district","119177"
"gujarat","surat district","119086"
"uttar-pradesh","ghaziabad district","116789"
"bihar","patna district","116594"
"gujarat","ahmadabad district","114972"
"uttar-pradesh","gautam buddha nagar district","106329"
"kerala","thiruvananthapuram district","103428"
"madhya-pradesh","indore district","102655"
"karnataka","mysuru district","96921"
"delhi","west district","92609"
"kerala","malappuram district","89482"
"kerala","kozhikode district","88360"
"maharashtra","nashik district","85983"
"haryana","faridabad district","83357"
"uttar-pradesh","lucknow district","80028"
"maharashtra","mumbai district","79243"
"andhra-pradesh","krishna district","77040"
"delhi","new delhi district","71428"
"tamil-nadu","kancheepuram district","70770"
"odisha","khordha district","70467"
"andhra-pradesh","guntur district","67484"
"maharashtra","raigad district","67398"
"delhi","central district","65915"
"delhi","north west district","65289"
"delhi","south east delhi district","65167"
"tamil-nadu","tiruppur district","63554"
"kerala","thrissur district","63301"
"andhra-pradesh","east godavari district","63018"
"maharashtra","solapur district","62562"
"maharashtra","palghar district","61357"
"assam","kamrup metropolitan district","60952"
"karnataka","belagavi district","60197"
"uttar-pradesh","kanpur nagar district","59197"
"kerala","kollam district","58628"
"west-bengal","howrah district","58495"
"delhi","south west district","58465"
"karnataka","dharwad district","58103"
"west-bengal","south twenty four parganas district","57775"
"andhra-pradesh","chittoor district","57729"
"jharkhand","ranchi district","55193"
"madhya-pradesh","bhopal district","54989"
"delhi","north district","52125"
"kerala","alappuzha district","51642"
"west-bengal","hooghly district","49809"
"kerala","kannur district","49801"
"jharkhand","east singhbhum district","48945"
"karnataka","dakshina kannada district","47915"
"tamil-nadu","madurai district","47820"
"delhi","south district","47198"
"uttar-pradesh","meerut district","46610"
"karnataka","bengaluru rural district","46537"
"west-bengal","paschim bardhaman district","46412"
"telangana","sangareddy district","46331"
"chhattisgarh","raipur district","45705"
"delhi","east district","44883"
"kerala","palakkad district","44102"
"maharashtra","aurangabad district","43610"
"uttarakhand","dehradun district","42243"
"karnataka","tumakuru district","42091"
"kerala","kottayam district","41259"
"maharashtra","ahmednagar district","41202"
"andhra-pradesh","spsr nellore district","40440"
"rajasthan","alwar district","39359"
"andhra-pradesh","west godavari district","39263"
"uttar-pradesh","prayagraj district","39204"
"karnataka","ballari district","38364"
"karnataka","shivamogga district","37954"
"delhi","shahdara district","37370"
"delhi","north east district","36775"
"jharkhand","dhanbad district","36544"
"tamil-nadu","krishnagiri district","36502"
"tamil-nadu","salem district","36285"
"west-bengal","paschim medinipur district","35829"
"karnataka","davanagere district","35625"
"gujarat","vadodara district","35567"
"andhra-pradesh","prakasam district","35336"
"maharashtra","kolhapur district","35161"
"rajasthan","jodhpur district","34431"
"karnataka","kalaburagi district","34009"
"haryana","rewari district","33946"
"punjab","sas nagar district","33903"
"bihar","muzaffarpur district","33547"
"uttar-pradesh","gorakhpur district","32824"
"telangana","warangal urban district","32713"
"andhra-pradesh","ysr district","32574"
"west-bengal","nadia district","32197"
"goa","north goa district","32008"
"west-bengal","purba bardhaman district","31975"
"andhra-pradesh","anantapur district","31841"
"punjab","ludhiana district","30998"
"uttar-pradesh","agra district","30962"
"gujarat","ahmedabad district","30452"
"maharashtra","jalgaon district","29797"
"karnataka","hassan district","29507"
"uttar-pradesh","varanasi district","29425"
"madhya-pradesh","gwalior district","29286"
"haryana","sonipat district","28796"
"karnataka","vijayapura district","28483"
"west-bengal","purba medinipur district","28263"
"rajasthan","sikar district","27916"
"goa","south goa district","27864"
"uttar-pradesh","moradabad district","27851"
"gujarat","rajkot district","27739"
"andhra-pradesh","kurnool district","27527"
"west-bengal","murshidabad district","27270"
"tamil-nadu","tiruchirappalli district","27158"
"uttar-pradesh","bareilly district","27013"
"tamil-nadu","erode district","27010"
"rajasthan","kota district","26607"
"karnataka","ramanagara district","26540"
