"pincode","registered_users"
"201301","1021560"
"201301","984239"
"201301","964283"
"201301","948041"
"201301","929874"
"201301","916333"
"201301","883262"
"421302","871910"
"110059","860657"
"201301","851451"
"421302","844933"
"110059","829414"
"110059","826819"
"201301","814008"
"110059","808649"
"110059","798856"
"560068","780422"
"201301","774591"
"421302","772632"
"110059","772107"
"500072","755978"
"560068","753700"
"110059","744061"
"421302","743686"
"201301","735907"
"500072","733364"
"560068","727330"
"110059","716856"
"421302","714635"
"452001","709324"
"560068","705298"
"201301","698600"
"421302","688520"
"452001","686231"
"110059","685596"
"410501","683451"
"560068","680831"
"122001","679107"
"500072","673094"
"110092","664004"
"410501","663976"
"560068","663903"
"121004","663180"
"421302","662196"
"201009","660474"
"201301","659549"
"560068","658173"
"122001","654633"
"110092","654020"
"110059","652328"
"500072","650991"
"121004","646607"
"201009","646266"
"560068","645173"
"110092","640499"
"110092","640039"
"421302","636458"
"122001","630836"
"560068","630255"
"500072","628306"
"110059","619737"
"201301","618043"
"110092","617934"
"122001","609934"
"500072","609887"
"421302","608005"
"110086","606637"
"302012","605113"
"560068","601656"
"201102","600484"
"110092","598195"
"121004","593014"
"122001","592048"
"560100","591662"
"302012","590885"
"500072","589156"
"110059","588266"
"122001","587988"
"110094","587845"
"201102","586024"
"110086","583639"
"410206","582722"
"834001","582216"
"110086","578378"
"421302","577754"
"201301","577428"
"110092","577301"
"122001","574508"
"560068","573310"
"110094","572978"
"202001","572694"
"560100","570870"
"121004","570844"
"500072","570652"
"834001","570264"
"201009","569781"
"201318","569084"
"410501","567438"
"410206","566967"
"122001","566889"
"395006","566141"
"110086","564824"
"110086","561319"
"244001","557938"
"201318","557500"
"110092","557488"
"410206","556561"
"110059","555449"
"302012","554198"
"202001","553823"
"121004","549020"
"560078","548837"
"201009","548384"
"421302","547501"
"500072","547282"
"143001","546995"
"410501","546470"
"560068","545827"
"395006","545048"
"800001","543315"
"122001","542209"
"244001","541197"
"201301","541127"
"110086","540985"
"492001","538574"
"410206","536197"
"302012","534636"
"110092","534009"
"110044","533714"
"110041","533351"
"560078","530186"
"121004","529674"
"201009","527630"
"143001","527175"
"410501","525446"
"395006","524949"
"800001","524465"
"500072","523196"
"110044","522834"
"421201","522124"
"492001","521527"
"110086","520976"
"110059","520096"
"421302","518716"
"560076","518035"
"411033","517502"
"411057","517377"
"560068","517115"
"247001","516928"
"410206","516527"
"122001","516313"
"110041","516205"
"302012","515213"
"110044","513673"
"110041","513299"
"560078","512223"
"110044","511337"
"201102","511202"
"121004","509776"
"201009","509567"
"110092","509260"
"143001","508232"
"410501","507190"
"395006","506393"
"411033","505976"
"800001","505940"
"201301","504506"
"110041","503783"
"421201","503220"
"411057","501733"
"247001","500622"
"560076","500551"
"110086","500213"
"500072","499269"
"410206","499001"
"302012","498043"
"560078","497366"
"110044","494483"
"110041","493201"
"201102","492115"
"395006","491725"
"143001","491581"
"800001","491519"
"122001","490709"
"201009","490549"
"121004","490243"
"800001","489967"
"500081","489740"
"421302","488443"
"410501","488059"
"395006","487460"
"132103","487186"
"395006","487106"
"560068","486170"
"110059","485328"
"421201","484995"
"110092","484816"
"560076","483516"
"560091","480848"
"410206","480675"
"110094","480546"
"560078","480496"
"302012","479744"
"800001","478115"
"110086","477514"
"110044","477143"
"500072","476073"
"110085","475853"
"110041","475553"
"121003","475384"
"560037","475359"
"132103","474310"
"110053","474265"
"143001","473406"
"201102","472944"
"201301","472490"
"201009","472156"
"800001","472016"
"410501","469695"
"560058","469565"
"560076","469520"
"395006","468935"
"421201","468655"
"121004","468607"
"500008","468570"
"560091","467453"
"122001","465984"
"560078","465268"
"560100","464205"
"560091","464066"
"394210","463791"
"410206","463523"
"110096","463060"
"110042","462808"
"110094","462468"
"302012","461897"
"401208","461440"
"110092","460951"
"560037","459750"
"110044","459541"
"110085","458957"
"560043","458003"
"110041","457756"
"121003","457561"
"143001","456622"
"110053","456507"
"421302","456284"
"201102","456202"
"800001","455854"
"560068","455417"
"394210","455341"
"500008","454240"
"110059","454201"
"560076","454040"
"110086","453393"
"500081","453288"
"560058","452934"
"421201","451655"
"500072","451595"
"201009","451153"
"411014","450724"
"121001","449875"
"401208","449430"
