"year","quarter","brand","total_registered_users"
2018,1,"Apple","1778928"
2018,1,"Asus","66654"
2018,1,"COOLPAD","10"
2018,1,"Gionee","153827"
2018,1,"Huawei","528866"
2018,1,"Lenovo","1246412"
2018,1,"Lyf","545"
2018,1,"Micromax","413801"
2018,1,"Motorola","1593229"
2018,1,"OnePlus","1442304"
2018,1,"Oppo","4479343"
2018,1,"Others","5366994"
2018,1,"Realme","2376844"
2018,1,"Samsung","9609356"
2018,1,"Vivo","5894266"
2018,1,"Xiaomi","11926274"
2018,2,"Apple","2236385"
2018,2,"Asus","93613"
2018,2,"Gionee","199712"
2018,2,"Huawei","750685"
2018,2,"Lenovo","1627026"
2018,2,"Lyf","726"
2018,2,"Micromax","578682"
2018,2,"Motorola","2099693"
2018,2,"OnePlus","1772961"
2018,2,"Oppo","6246563"
2018,2,"Others","7151800"
2018,2,"Realme","3165710"
2018,2,"Samsung","12942994"
2018,2,"Vivo","8365029"
2018,2,"Xiaomi","16416430"
2018,3,"Apple","2667940"
2018,3,"Asus","116920"
2018,3,"Gionee","237211"
2018,3,"Huawei","1232490"
2018,3,"Lenovo","1768923"
2018,3,"Micromax","636498"
2018,3,"Motorola","2528676"
2018,3,"OnePlus","1951232"
2018,3,"Oppo","8103622"
2018,3,"Others","8598058"
2018,3,"Realme","3962564"
2018,3,"Samsung","16228311"
2018,3,"Vivo","11118786"
2018,3,"Xiaomi","20859358"
2018,4,"Apple","3288545"
2018,4,"Asus","153205"
2018,4,"Gionee","132562"
2018,4,"Huawei","1775605"
2018,4,"Lava","10441"
2018,4,"Lenovo","2154653"
2018,4,"Micromax","781537"
2018,4,"Motorola","3089161"
2018,4,"OnePlus","2340948"
2018,4,"Oppo","10754004"
2018,4,"Others","10366781"
2018,4,"Realme","4997688"
2018,4,"Samsung","20740187"
2018,4,"Vivo","14966840"
2018,4,"Xiaomi","26709464"
2019,1,"Apple","3836258"
2019,1,"Asus","182490"
2019,1,"Gionee","153893"
2019,1,"Huawei","2243839"
2019,1,"Lava","13189"
2019,1,"Lenovo","2436822"
2019,1,"Micromax","860213"
2019,1,"Motorola","3530311"
2019,1,"OnePlus","2673732"
2019,1,"Oppo","13426646"
2019,1,"Others","12101561"
2019,1,"Realme","5948513"
2019,1,"Samsung","25070318"
2019,1,"Vivo","18778634"
2019,1,"Xiaomi","32175769"
