"state","year","quarter","total_registrations"
"andaman & nicobar islands",2018,1,"6740"
"andaman & nicobar islands",2018,2,"9405"
"andaman & nicobar islands",2018,3,"12149"
"andaman & nicobar islands",2018,4,"15222"
"andaman & nicobar islands",2019,1,"18596"
"andaman & nicobar islands",2019,2,"21731"
"andaman & nicobar islands",2019,3,"23931"
"andaman & nicobar islands",2019,4,"25960"
"andaman & nicobar islands",2020,1,"28368"
"andaman & nicobar islands",2020,2,"32710"
"andaman & nicobar islands",2020,3,"41335"
"andaman & nicobar islands",2020,4,"52396"
"andaman & nicobar islands",2021,1,"57758"
"andaman & nicobar islands",2021,2,"62095"
"andaman & nicobar islands",2021,3,"66982"
"andaman & nicobar islands",2021,4,"71780"
"andaman & nicobar islands",2022,1,"76288"
"andaman & nicobar islands",2022,2,"80530"
"andaman & nicobar islands",2022,3,"84642"
"andaman & nicobar islands",2022,4,"88442"
"andaman & nicobar islands",2023,1,"92484"
"andaman & nicobar islands",2023,2,"96329"
"andaman & nicobar islands",2023,3,"100255"
"andaman & nicobar islands",2023,4,"103978"
"andaman & nicobar islands",2024,1,"108411"
"andaman & nicobar islands",2024,2,"112687"
"andaman & nicobar islands",2024,3,"172473"
"andaman & nicobar islands",2024,4,"178788"
"andhra pradesh",2018,1,"3336450"
"andhra pradesh",2018,2,"4402540"
"andhra pradesh",2018,3,"5427617"
"andhra pradesh",2018,4,"6857409"
"andhra pradesh",2019,1,"8283019"
"andhra pradesh",2019,2,"9389003"
"andhra pradesh",2019,3,"10458693"
"andhra pradesh",2019,4,"11757883"
"andhra pradesh",2020,1,"13022060"
"andhra pradesh",2020,2,"14319675"
"andhra pradesh",2020,3,"15692405"
"andhra pradesh",2020,4,"17076565"
"andhra pradesh",2021,1,"18363733"
"andhra pradesh",2021,2,"19620905"
"andhra pradesh",2021,3,"21059898"
"andhra pradesh",2021,4,"22489029"
"andhra pradesh",2022,1,"23857951"
"andhra pradesh",2022,2,"25157264"
"andhra pradesh",2022,3,"26496330"
"andhra pradesh",2022,4,"27778016"
"andhra pradesh",2023,1,"29065863"
"andhra pradesh",2023,2,"30240061"
"andhra pradesh",2023,3,"31493897"
"andhra pradesh",2023,4,"32658698"
"andhra pradesh",2024,1,"34008709"
"andhra pradesh",2024,2,"35303719"
"andhra pradesh",2024,3,"29145303"
"andhra pradesh",2024,4,"29984431"
"arunachal pradesh",2018,1,"21495"
"arunachal pradesh",2018,2,"32883"
"arunachal pradesh",2018,3,"45922"
"arunachal pradesh",2018,4,"61852"
"arunachal pradesh",2019,1,"76957"
"arunachal pradesh",2019,2,"95885"
"arunachal pradesh",2019,3,"112149"
"arunachal pradesh",2019,4,"129321"
"arunachal pradesh",2020,1,"149066"
"arunachal pradesh",2020,2,"177534"
"arunachal pradesh",2020,3,"206046"
"arunachal pradesh",2020,4,"231292"
"arunachal pradesh",2021,1,"251240"
"arunachal pradesh",2021,2,"270572"
"arunachal pradesh",2021,3,"293073"
"arunachal pradesh",2021,4,"314944"
"arunachal pradesh",2022,1,"335339"
"arunachal pradesh",2022,2,"354528"
"arunachal pradesh",2022,3,"373372"
"arunachal pradesh",2022,4,"390307"
"arunachal pradesh",2023,1,"408273"
"arunachal pradesh",2023,2,"426410"
"arunachal pradesh",2023,3,"444789"
"arunachal pradesh",2023,4,"462088"
"arunachal pradesh",2024,1,"482393"
"arunachal pradesh",2024,2,"500669"
"arunachal pradesh",2024,3,"687168"
"arunachal pradesh",2024,4,"710879"
"assam",2018,1,"385237"
"assam",2018,2,"571046"
"assam",2018,3,"784802"
"assam",2018,4,"1039221"
"assam",2019,1,"1259085"
"assam",2019,2,"1500128"
"assam",2019,3,"1731523"
"assam",2019,4,"1941220"
"assam",2020,1,"2185938"
"assam",2020,2,"2550883"
"assam",2020,3,"2830011"
"assam",2020,4,"3106153"
"assam",2021,1,"3358448"
"assam",2021,2,"3617056"
"assam",2021,3,"3918480"
"assam",2021,4,"4209591"
"assam",2022,1,"4492589"
"assam",2022,2,"4755787"
"assam",2022,3,"5016910"
"assam",2022,4,"5247776"
"assam",2023,1,"5499650"
"assam",2023,2,"5749682"
"assam",2023,3,"5998586"
"assam",2023,4,"6234780"
"assam",2024,1,"6510156"
"assam",2024,2,"6767874"
"assam",2024,3,"10098778"
"assam",2024,4,"10480927"
"bihar",2018,1,"2133804"
"bihar",2018,2,"3005872"
"bihar",2018,3,"3784535"
"bihar",2018,4,"4776665"
"bihar",2019,1,"5745117"
"bihar",2019,2,"6589759"
"bihar",2019,3,"7380265"
"bihar",2019,4,"8342274"
"bihar",2020,1,"9351234"
"bihar",2020,2,"10603767"
"bihar",2020,3,"11763213"
"bihar",2020,4,"12889833"
"bihar",2021,1,"13946288"
"bihar",2021,2,"14972134"
"bihar",2021,3,"16160771"
"bihar",2021,4,"17335981"
"bihar",2022,1,"18484658"
"bihar",2022,2,"19569894"
"bihar",2022,3,"20694376"
"bihar",2022,4,"21738117"
"bihar",2023,1,"22796011"
"bihar",2023,2,"23781971"
"bihar",2023,3,"24776510"
"bihar",2023,4,"25695856"
"bihar",2024,1,"26765201"
"bihar",2024,2,"27786576"
"bihar",2024,3,"31899315"
"bihar",2024,4,"33345285"
"chandigarh",2018,1,"86268"
"chandigarh",2018,2,"115219"
"chandigarh",2018,3,"143893"
"chandigarh",2018,4,"177747"
"chandigarh",2019,1,"209175"
"chandigarh",2019,2,"240439"
"chandigarh",2019,3,"267337"
"chandigarh",2019,4,"289590"
"chandigarh",2020,1,"312887"
"chandigarh",2020,2,"336351"
"chandigarh",2020,3,"362588"
"chandigarh",2020,4,"391402"
"chandigarh",2021,1,"419998"
"chandigarh",2021,2,"448572"
"chandigarh",2021,3,"480463"
"chandigarh",2021,4,"512092"
"chandigarh",2022,1,"541549"
"chandigarh",2022,2,"569582"
"chandigarh",2022,3,"598698"
"chandigarh",2022,4,"627563"
"chandigarh",2023,1,"654522"
"chandigarh",2023,2,"678662"
"chandigarh",2023,3,"704144"
"chandigarh",2023,4,"727594"
"chandigarh",2024,1,"754849"
"chandigarh",2024,2,"782791"
"chandigarh",2024,3,"700398"
"chandigarh",2024,4,"721216"
"chhattisgarh",2018,1,"679263"
"chhattisgarh",2018,2,"950675"
"chhattisgarh",2018,3,"1217792"
"chhattisgarh",2018,4,"1579998"
"chhattisgarh",2019,1,"1908898"
"chhattisgarh",2019,2,"2191066"
"chhattisgarh",2019,3,"2435058"
"chhattisgarh",2019,4,"2725900"
"chhattisgarh",2020,1,"3016487"
"chhattisgarh",2020,2,"3401658"
"chhattisgarh",2020,3,"3799386"
"chhattisgarh",2020,4,"4190601"
"chhattisgarh",2021,1,"4514551"
"chhattisgarh",2021,2,"4837055"
"chhattisgarh",2021,3,"5206084"
"chhattisgarh",2021,4,"5565481"
"chhattisgarh",2022,1,"5916961"
"chhattisgarh",2022,2,"6238349"
"chhattisgarh",2022,3,"6562237"
"chhattisgarh",2022,4,"6846822"
"chhattisgarh",2023,1,"7159660"
"chhattisgarh",2023,2,"7469508"
"chhattisgarh",2023,3,"7779977"
"chhattisgarh",2023,4,"8057016"
"chhattisgarh",2024,1,"8394140"
"chhattisgarh",2024,2,"8704757"
"chhattisgarh",2024,3,"10290502"
"chhattisgarh",2024,4,"10651135"
"dadra & nagar haveli & daman & diu",2018,1,"53258"
"dadra & nagar haveli & daman & diu",2018,2,"71458"
"dadra & nagar haveli & daman & diu",2018,3,"92107"
"dadra & nagar haveli & daman & diu",2018,4,"116511"
"dadra & nagar haveli & daman & diu",2019,1,"140532"
"dadra & nagar haveli & daman & diu",2019,2,"158580"
"dadra & nagar haveli & daman & diu",2019,3,"176929"
