"state","year","quarter","total_transactions","total_amount"
"andaman & nicobar islands",2018,1,"6658","14631761.22198579"
"andaman & nicobar islands",2018,2,"11340","28338535.507953547"
"andaman & nicobar islands",2018,3,"16265","55557471.13431113"
"andaman & nicobar islands",2018,4,"23758","90548336.07445517"
"andaman & nicobar islands",2019,1,"30486","102299740.67348987"
"andaman & nicobar islands",2019,2,"33689","120254709.6756632"
"andaman & nicobar islands",2019,3,"33770","114071776.08729392"
"andaman & nicobar islands",2019,4,"35159","136838530.5173779"
"andaman & nicobar islands",2020,1,"41298","161476312.2972747"
"andaman & nicobar islands",2020,2,"62962","169645001.41414702"
"andaman & nicobar islands",2020,3,"117483","338019446.3303601"
"andaman & nicobar islands",2020,4,"224531","627282656.3148524"
"andaman & nicobar islands",2021,1,"244752","783706567.3897561"
"andaman & nicobar islands",2021,2,"341414","899147016.1122956"
"andaman & nicobar islands",2021,3,"449764","1310024395.8016036"
"andaman & nicobar islands",2021,4,"636123","1932610101.3236554"
"andaman & nicobar islands",2022,1,"794748","2129030202.0751667"
"andaman & nicobar islands",2022,2,"1071217","2685920350.080267"
"andaman & nicobar islands",2022,3,"1584379","3310631772.137388"
"andaman & nicobar islands",2022,4,"1987535","3984674404.428784"
"andaman & nicobar islands",2023,1,"2276392","4461528587.0"
"andaman & nicobar islands",2023,2,"2707775","4990344236.0"
"andaman & nicobar islands",2023,3,"3098376","5211596791.0"
"andaman & nicobar islands",2023,4,"3695783","6269552499.0"
"andaman & nicobar islands",2024,1,"4184920","6859151835.0"
"andaman & nicobar islands",2024,2,"4653224","7295780330.0"
"andaman & nicobar islands",2024,3,"5279250","7663845009.0"
"andaman & nicobar islands",2024,4,"6063900","8920944773.0"
"andhra pradesh",2018,1,"9039585","11996276391.823706"
"andhra pradesh",2018,2,"12353918","22883914272.633617"
"andhra pradesh",2018,3,"25626061","35718044599.21416"
"andhra pradesh",2018,4,"30759548","51473779406.840416"
"andhra pradesh",2019,1,"57264522","83760595917.0792"
"andhra pradesh",2019,2,"56409015","113634518758.22931"
"andhra pradesh",2019,3,"76288614","139447944254.78943"
"andhra pradesh",2019,4,"107218103","200948315488.80518"
"andhra pradesh",2020,1,"127677357","252737214289.0485"
"andhra pradesh",2020,2,"144917855","302583689746.5449"
