"state","year","quarter","transactions"
"andaman & nicobar islands",2018,1,"6658"
"andaman & nicobar islands",2018,2,"11340"
"andaman & nicobar islands",2018,3,"16265"
"andaman & nicobar islands",2018,4,"23758"
"andaman & nicobar islands",2019,1,"30486"
"andaman & nicobar islands",2019,2,"33689"
"andaman & nicobar islands",2019,3,"33770"
"andaman & nicobar islands",2019,4,"35159"
"andaman & nicobar islands",2020,1,"41298"
"andaman & nicobar islands",2020,2,"62962"
"andaman & nicobar islands",2020,3,"117483"
"andaman & nicobar islands",2020,4,"224531"
"andaman & nicobar islands",2021,1,"244752"
"andaman & nicobar islands",2021,2,"341414"
"andaman & nicobar islands",2021,3,"449764"
"andaman & nicobar islands",2021,4,"636123"
"andaman & nicobar islands",2022,1,"794748"
"andaman & nicobar islands",2022,2,"1071217"
"andaman & nicobar islands",2022,3,"1584379"
"andaman & nicobar islands",2022,4,"1987535"
"andaman & nicobar islands",2023,1,"2276392"
"andaman & nicobar islands",2023,2,"2707775"
"andaman & nicobar islands",2023,3,"3098376"
"andaman & nicobar islands",2023,4,"3695783"
"andaman & nicobar islands",2024,1,"4184920"
"andaman & nicobar islands",2024,2,"4653224"
"andaman & nicobar islands",2024,3,"5279250"
"andaman & nicobar islands",2024,4,"6063900"
"andhra pradesh",2018,1,"9039585"
"andhra pradesh",2018,2,"12353918"
"andhra pradesh",2018,3,"25626061"
"andhra pradesh",2018,4,"30759548"
"andhra pradesh",2019,1,"57264522"
"andhra pradesh",2019,2,"56409015"
"andhra pradesh",2019,3,"76288614"
"andhra pradesh",2019,4,"107218103"
"andhra pradesh",2020,1,"127677357"
"andhra pradesh",2020,2,"144917855"
"andhra pradesh",2020,3,"204902935"
"andhra pradesh",2020,4,"286118552"
"andhra pradesh",2021,1,"289747970"
"andhra pradesh",2021,2,"352767134"
"andhra pradesh",2021,3,"432032550"
"andhra pradesh",2021,4,"522254003"
"andhra pradesh",2022,1,"582603911"
"andhra pradesh",2022,2,"671134030"
"andhra pradesh",2022,3,"642855035"
"andhra pradesh",2022,4,"690017077"
"andhra pradesh",2023,1,"1145532464"
"andhra pradesh",2023,2,"1305656964"
"andhra pradesh",2023,3,"1475164403"
"andhra pradesh",2023,4,"1596987426"
"andhra pradesh",2024,1,"1755428485"
"andhra pradesh",2024,2,"1930122300"
"andhra pradesh",2024,3,"2091371362"
"andhra pradesh",2024,4,"2296445544"
"arunachal pradesh",2018,1,"45497"
"arunachal pradesh",2018,2,"82157"
"arunachal pradesh",2018,3,"131146"
"arunachal pradesh",2018,4,"176429"
"arunachal pradesh",2019,1,"226506"
"arunachal pradesh",2019,2,"258656"
"arunachal pradesh",2019,3,"370234"
"arunachal pradesh",2019,4,"459475"
"arunachal pradesh",2020,1,"567175"
"arunachal pradesh",2020,2,"808774"
"arunachal pradesh",2020,3,"962827"
"arunachal pradesh",2020,4,"1209129"
"arunachal pradesh",2021,1,"1177456"
"arunachal pradesh",2021,2,"1568338"
