"state","total_registrations"
"maharashtra","1140138243"
"uttar pradesh","942334146"
"karnataka","733674236"
"andhra pradesh","556747126"
"rajasthan","555774493"
"west bengal","524964358"
"telangana","524620520"
"tamil nadu","506486772"
"madhya pradesh","470663624"
"gujarat","459154666"
"bihar","446115282"
"delhi","324608095"
"haryana","306022101"
"odisha","290005345"
"kerala","204758075"
"punjab","171432251"
"jharkhand","169283936"
"chhattisgarh","142291017"
"assam","111842317"
"uttarakhand","86930925"
"himachal pradesh","49799825"
"jammu & kashmir","40162530"
"goa","17437286"
"tripura","13862627"
"chandigarh","12855589"
"puducherry","10407148"
"dadra & nagar haveli & daman & diu","10080195"
"manipur","9389131"
"arunachal pradesh","8046446"
"nagaland","6297675"
"meghalaya","6185282"
"sikkim","4868004"
"mizoram","2701061"
"ladakh","2271369"
"andaman & nicobar islands","1842465"
"lakshadweep","142697"
