"state","total_transactions","total_amount"
"maharashtra","31985208732","40374195687971.563234"
"karnataka","30970946279","40678721773666.263022"
"telangana","26174684592","41655955630076.333982"
"andhra pradesh","18918696723","34669080454846.741259"
"uttar pradesh","18523603727","26885212184899.669801"
"rajasthan","17108537898","26343235566259.074264"
"madhya pradesh","14072176059","19125279433026.589827"
"bihar","10941026824","17901349344779.623600"
"west bengal","9191499687","15584164309413.651573"
"odisha","8918527452","12263982051532.533033"
"delhi","8495316647","11637520248963.950748"
"tamil nadu","7796386037","11936219022648.415194"
"haryana","6744901124","9645036562815.893767"
"gujarat","6726865334","10192905823125.346330"
"jharkhand","4266420959","5906646115660.917864"
"chhattisgarh","3733643831","4890472317487.8148610"
"kerala","2300897800","3076269164129.139019"
"assam","2262440836","3460792155997.8905337"
"punjab","1772412497","2983077809927.293055"
"uttarakhand","1458837297","1916488572014.3166956"
"jammu & kashmir","820602735","1184683177572.7312618"
"himachal pradesh","500810554","687537358746.4008066"
"goa","364944445","511021161407.30325202"
"chandigarh","203855326","292906588372.6861382"
"dadra & nagar haveli & daman & diu","201218415","201719857192.11563992"
"puducherry","166605297","237317074404.26510698"
"arunachal pradesh","160223357","274434950651.68095637"
"tripura","120838496","200583408419.46303567"
"meghalaya","88635419","162543901207.48494238"
"manipur","73350340","186265635029.74378059"
"sikkim","65860842","118945401940.84945597"
"nagaland","54768743","130358591755.69925275"
"andaman & nicobar islands","39706951","70667453146.598081147"
"ladakh","39345875","88994622100.102122783"
"mizoram","19535750","46102103410.331382716"
"lakshadweep","883994","1609320784.7771470778"
