"state","total_registered_users","total_app_opens"
"maharashtra","1140138243","49616423987"
"uttar-pradesh","942334146","33236833684"
"karnataka","733674236","38344879267"
"andhra-pradesh","556747126","24728024309"
"rajasthan","555774493","48507630334"
"west-bengal","524964358","10943818827"
"telangana","524620520","23197773412"
"tamil-nadu","506486772","16992199376"
"madhya-pradesh","470663624","39708500796"
"gujarat","459154666","20780416980"
"bihar","446115282","13608259251"
"delhi","324608095","4847106329"
"haryana","306022101","8259126213"
"odisha","290005345","14493923288"
"kerala","204758075","3968667568"
"punjab","171432251","5142232156"
"jharkhand","169283936","10907909802"
"chhattisgarh","142291017","11190410814"
"assam","111842317","9436508709"
"uttarakhand","86930925","3413394921"
"himachal-pradesh","49799825","2197083175"
"jammu-&-kashmir","40162530","2709558059"
"goa","17437286","528329279"
"tripura","13862627","671717197"
"chandigarh","12855589","172230820"
"puducherry","10407148","177962415"
"dadra-&-nagar-haveli-&-daman-&-diu","10080195","207734903"
"manipur","9389131","498985094"
"arunachal-pradesh","8046446","1117277209"
"nagaland","6297675","479729729"
"meghalaya","6185282","1078448726"
"sikkim","4868004","286970076"
"mizoram","2701061","368884295"
"ladakh","2271369","294111791"
"andaman-&-nicobar-islands","1842465","170043693"
"lakshadweep","142697","5048344"
