"state","district","total_registered_users"
"karnataka","bengaluru urban","303663088"
"maharashtra","pune","199346186"
"maharashtra","thane","122501643"
"rajasthan","jaipur","119739290"
"maharashtra","mumbai suburban","119012886"
"telangana","hyderabad","101824322"
"telangana","rangareddy","90261099"
"gujarat","ahmadabad","81767310"
"gujarat","surat","77469508"
"west-bengal","north twenty four parganas","77396295"
"telangana","medchal malkajgiri","76477237"
"haryana","gurugram","70791407"
"andhra-pradesh","visakhapatnam","69880470"
"maharashtra","nashik","62791515"
"tamil-nadu","chennai","60490490"
"uttar-pradesh","gautam buddha nagar","59896693"
"bihar","patna","59427969"
"uttar-pradesh","lucknow","56803438"
"west-bengal","kolkata","56032093"
"uttar-pradesh","ghaziabad","55331424"
"madhya-pradesh","indore","55152189"
"maharashtra","nagpur","54144525"
"andhra-pradesh","east godavari","53118299"
"andhra-pradesh","guntur","52953699"
"andhra-pradesh","krishna","50391195"
"delhi","west","48243661"
"andhra-pradesh","chittoor","47455783"
"odisha","khordha","44276414"
"maharashtra","mumbai","44190076"
"madhya-pradesh","bhopal","41701843"
"maharashtra","ahmednagar","40829447"
"tamil-nadu","thiruvallur","40468327"
"tamil-nadu","coimbatore","39627880"
"maharashtra","aurangabad","39418319"
"haryana","faridabad","39401456"
"andhra-pradesh","kurnool","38568071"
"tamil-nadu","chengalpattu","38351134"
"andhra-pradesh","anantapur","37923829"
"maharashtra","palghar","37516765"
"west-bengal","south twenty four parganas","37217141"
"west-bengal","murshidabad","36507576"
"uttar-pradesh","prayagraj","36168670"
"punjab","ludhiana","34966346"
"rajasthan","alwar","34761857"
"delhi","south east delhi","34594607"
"uttar-pradesh","kanpur nagar","34310962"
"karnataka","belagavi","34297782"
"delhi","north west","34039892"
"kerala","ernakulam","33710328"
"uttar-pradesh","varanasi","33686695"
"andhra-pradesh","west godavari","33560380"
"maharashtra","solapur","33348594"
"karnataka","mysuru","33079121"
"gujarat","vadodara","32391669"
"delhi","central delhi","32332539"
"west-bengal","hooghly","32195887"
"delhi","new delhi","31889595"
"uttar-pradesh","agra","30609405"
"rajasthan","jodhpur","30332539"
"andhra-pradesh","spsr nellore","29774239"
"west-bengal","howrah","29557607"
"andhra-pradesh","prakasam","29275940"
"west-bengal","nadia","27923114"
"delhi","north","27866902"
"west-bengal","purba medinipur","27426858"
"jharkhand","ranchi","27049234"
"delhi","south west","26289099"
"uttarakhand","dehradun","25777066"
"chhattisgarh","raipur","25009618"
"west-bengal","paschim medinipur","24820614"
"uttar-pradesh","gorakhpur","24765273"
"odisha","cuttack","24364435"
"delhi","east","24226025"
