"state","total_transactions","total_amount"
"maharashtra","31985208732","40374195687971.67"
"karnataka","30970946279","40678721773666.375"
"telangana","26174684592","41655955630076.31"
"andhra-pradesh","18918696723","34669080454846.836"
"uttar-pradesh","18523603727","26885212184899.867"
"rajasthan","17108537898","26343235566259.24"
"madhya-pradesh","14072176059","19125279433026.816"
"bihar","10941026824","17901349344779.723"
"west-bengal","9191499687","15584164309413.684"
"odisha","8918527452","12263982051532.62"
"delhi","8495316647","11637520248963.953"
"tamil-nadu","7796386037","11936219022648.531"
"haryana","6744901124","9645036562815.904"
"gujarat","6726865334","10192905823125.367"
"jharkhand","4266420959","5906646115660.92"
"chhattisgarh","3733643831","4890472317487.816"
"kerala","2300897800","3076269164129.138"
"assam","2262440836","3460792155997.8906"
"punjab","1772412497","2983077809927.293"
"uttarakhand","1458837297","1916488572014.317"
"jammu-&-kashmir","820602735","1184683177572.731"
"himachal-pradesh","500810554","687537358746.4001"
"goa","364944445","511021161407.30316"
"chandigarh","203855326","292906588372.68616"
"dadra-&-nagar-haveli-&-daman-&-diu","201218415","201719857192.11563"
"puducherry","166605297","237317074404.26514"
"arunachal-pradesh","160223357","274434950651.68097"
"tripura","120838496","200583408419.46307"
"meghalaya","88635419","162543901207.48492"
"manipur","73350340","186265635029.7436"
"sikkim","65860842","118945401940.84946"
"nagaland","54768743","130358591755.69926"
"andaman-&-nicobar-islands","39706951","70667453146.59808"
"ladakh","39345875","88994622100.10213"
"mizoram","19535750","46102103410.33138"
"lakshadweep","883994","1609320784.7771473"
