"state","transaction_type","total_transactions","total_amount"
"andaman-&-nicobar-islands","Merchant payments","21197261","17015577911.713999"
"andaman-&-nicobar-islands","Peer-to-peer payments","14071933","51374913225.92652"
"andaman-&-nicobar-islands","Recharge & bill payments","4340218","2146918491.1758926"
"andaman-&-nicobar-islands","Others","48894","45270396.1689775"
"andaman-&-nicobar-islands","Financial Services","48645","84773121.61269611"
"andhra-pradesh","Merchant payments","9234938613","5071483270330.19"
"andhra-pradesh","Peer-to-peer payments","8182885463","28432609905379.56"
"andhra-pradesh","Recharge & bill payments","1480385007","1147607321108.088"
"andhra-pradesh","Others","10746164","9053428153.715855"
"andhra-pradesh","Financial Services","9741476","8326529875.284815"
"arunachal-pradesh","Peer-to-peer payments","70460951","215615142425.14624"
"arunachal-pradesh","Merchant payments","69012121","51793148764.95469"
"arunachal-pradesh","Recharge & bill payments","20541039","6782338781.124987"
"arunachal-pradesh","Others","116620","98478906.5945153"
"arunachal-pradesh","Financial Services","92626","145841773.86053047"
"assam","Merchant payments","1048454374","658795099659.1271"
"assam","Peer-to-peer payments","925490376","2692410781857.48"
"assam","Recharge & bill payments","284242604","106367284203.70322"
"assam","Others","2401088","1557419206.5041146"
"assam","Financial Services","1852394","1661571071.076195"
"bihar","Merchant payments","5268451146","3197076905194.548"
"bihar","Peer-to-peer payments","4721945776","14210387226399.592"
"bihar","Recharge & bill payments","932086348","482226181582.1523"
"bihar","Others","11594718","6712207783.74574"
"bihar","Financial Services","6948836","4946823819.682417"
"chandigarh","Merchant payments","122011705","68718103988.27933"
"chandigarh","Peer-to-peer payments","62436506","207789951305.2087"
"chandigarh","Recharge & bill payments","18708137","15748818223.622948"
"chandigarh","Others","460471","372890858.9107666"
"chandigarh","Financial Services","238507","276823996.6643752"
"chhattisgarh","Merchant payments","2055141994","1160136347653.3296"
"chhattisgarh","Peer-to-peer payments","1302281880","3547304086535.9375"
"chhattisgarh","Recharge & bill payments","370392008","178034898956.49194"
"chhattisgarh","Others","3814042","2750455104.8351245"
"chhattisgarh","Financial Services","2013907","2246529237.2231646"
"dadra-&-nagar-haveli-&-daman-&-diu","Merchant payments","122263920","45300299867.71617"
"dadra-&-nagar-haveli-&-daman-&-diu","Peer-to-peer payments","61061728","144583874348.99023"
"dadra-&-nagar-haveli-&-daman-&-diu","Recharge & bill payments","17577660","11603170289.532677"
"dadra-&-nagar-haveli-&-daman-&-diu","Others","208413","135384043.62618935"
"dadra-&-nagar-haveli-&-daman-&-diu","Financial Services","106694","97128642.25035428"
"delhi","Merchant payments","5060364831","2301581799857.619"
"delhi","Peer-to-peer payments","2774746688","8696073724376.3545"
"delhi","Recharge & bill payments","622484987","617217124222.3494"
"delhi","Others","31288520","15243307700.075237"
"delhi","Financial Services","6431621","7404292807.55427"
"goa","Merchant payments","215672566","134060553974.16676"
"goa","Peer-to-peer payments","118604660","358827345679.56415"
"goa","Recharge & bill payments","29989310","17328985627.5706"
"goa","Others","345725","355435193.5035559"
"goa","Financial Services","332184","448840932.49812776"
"gujarat","Merchant payments","3756290878","2178315892092.6414"
"gujarat","Peer-to-peer payments","2177694643","7403277278150.086"
"gujarat","Recharge & bill payments","777319597","599345787747.8417"
"gujarat","Others","10251574","7132174967.115216"
"gujarat","Financial Services","5308642","4834690167.68454"
"haryana","Merchant payments","3986009677","1963515602273.453"
"haryana","Peer-to-peer payments","2204395241","7160020847561.76"
