"state","year","total_transactions","total_amount"
"andaman & nicobar islands",2018,"58021","189076103.938705637"
"andaman & nicobar islands",2019,"133104","473464756.95382489"
"andaman & nicobar islands",2020,"446274","1296423416.35663422"
"andaman & nicobar islands",2021,"1672053","4925488080.6273107"
"andaman & nicobar islands",2022,"5437879","12110256728.7216057"
"andaman & nicobar islands",2023,"11778326","20933022113.0"
"andaman & nicobar islands",2024,"20181294","30739721947.0"
"andhra pradesh",2018,"77779112","122072014670.511899"
"andhra pradesh",2019,"297180254","537791374418.90312"
"andhra pradesh",2020,"763616699","1677246580653.85084"
"andhra pradesh",2021,"1596801657","3663664651932.9313"
"andhra pradesh",2022,"2586610053","5583977087511.5441"
"andhra pradesh",2023,"5523341257","10211019479367.0"
"andhra pradesh",2024,"8073367691","12873309266292.0"
"arunachal pradesh",2018,"435229","1127123964.18460737"
"arunachal pradesh",2019,"1314871","3465824194.9921320"
"arunachal pradesh",2020,"3547905","9388678101.7189470"
"arunachal pradesh",2021,"7043359","20891839223.9211795"
"arunachal pradesh",2022,"14933120","35669777484.8640905"
"arunachal pradesh",2023,"45823488","81456467998.0"
"arunachal pradesh",2024,"87125385","122435239684.0"
"assam",2018,"8806777","13207547440.6776147"
"assam",2019,"22691015","47189496241.516377"
"assam",2020,"47135224","110492731052.455842"
"assam",2021,"124469767","290404405089.31005"
"assam",2022,"325319689","639534078221.93065"
"assam",2023,"613379099","977126607203.0"
"assam",2024,"1120639265","1382837290749.0"
"bihar",2018,"44556885","68085690829.168206"
"bihar",2019,"131986927","265641475630.152974"
"bihar",2020,"266563978","650297855404.38437"
"bihar",2021,"703334157","1571988279912.96065"
"bihar",2022,"1598987497","3093331786929.9574"
"bihar",2023,"2890430314","4848212877115.0"
"bihar",2024,"5305167066","7403791378958.0"
"chandigarh",2018,"2383031","4976604721.9266401"
"chandigarh",2019,"5884404","12511344054.9886791"
"chandigarh",2020,"8861323","20210041054.420694"
"chandigarh",2021,"22936065","42203561314.793846"
"chandigarh",2022,"50755993","80898004012.556279"
"chandigarh",2023,"47701535","58947309456.0"
"chandigarh",2024,"65332975","73159723758.0"
"chhattisgarh",2018,"13933118","22132045738.8160850"
