"state","brand","total_registered_users"
"andaman-&-nicobar-islands","Xiaomi","148752"
"andaman-&-nicobar-islands","Vivo","141104"
"andaman-&-nicobar-islands","Samsung","114622"
"andaman-&-nicobar-islands","Oppo","54448"
"andaman-&-nicobar-islands","Others","47353"
"andaman-&-nicobar-islands","Realme","39953"
"andaman-&-nicobar-islands","OnePlus","23399"
"andaman-&-nicobar-islands","Huawei","15964"
"andaman-&-nicobar-islands","Apple","13741"
"andaman-&-nicobar-islands","Motorola","12613"
"andaman-&-nicobar-islands","Tecno","6135"
"andaman-&-nicobar-islands","Lenovo","5362"
"andhra-pradesh","Xiaomi","56579876"
"andhra-pradesh","Samsung","43755288"
"andhra-pradesh","Vivo","39277268"
"andhra-pradesh","Oppo","24437726"
"andhra-pradesh","Realme","19656788"
"andhra-pradesh","Others","15573750"
"andhra-pradesh","Motorola","6387298"
"andhra-pradesh","Apple","5695393"
"andhra-pradesh","OnePlus","5307977"
"andhra-pradesh","Huawei","5276809"
"andhra-pradesh","Lenovo","3466662"
"arunachal-pradesh","Xiaomi","652564"
"arunachal-pradesh","Vivo","627568"
"arunachal-pradesh","Samsung","529978"
"arunachal-pradesh","Oppo","429122"
"arunachal-pradesh","Realme","220848"
"arunachal-pradesh","Others","168388"
"arunachal-pradesh","Apple","56633"
"arunachal-pradesh","Gionee","32486"
"arunachal-pradesh","OnePlus","31989"
"arunachal-pradesh","Huawei","26130"
"arunachal-pradesh","Motorola","25045"
"arunachal-pradesh","Lenovo","2461"
"arunachal-pradesh","Infinix","2358"
"assam","Xiaomi","10092046"
"assam","Vivo","7769042"
"assam","Samsung","5780515"
"assam","Oppo","5341557"
"assam","Others","4032368"
"assam","Realme","3673309"
"assam","Huawei","585405"
"assam","Motorola","503516"
"assam","Gionee","453190"
"assam","Asus","444821"
"assam","Lenovo","287876"
"assam","Apple","270509"
"assam","Tecno","102319"
"assam","OnePlus","97349"
"assam","Infinix","47589"
"bihar","Xiaomi","47850275"
"bihar","Samsung","32741887"
"bihar","Vivo","24592120"
"bihar","Oppo","20080965"
"bihar","Realme","16414194"
"bihar","Others","14021292"
"bihar","Motorola","2751976"
"bihar","Huawei","2516907"
"bihar","Infinix","1971745"
"bihar","Lenovo","1785204"
"bihar","Tecno","992995"
"bihar","Micromax","676482"
"bihar","Apple","666951"
"bihar","HMD Global","203177"
"chandigarh","Xiaomi","1235478"
"chandigarh","Samsung","1046742"
"chandigarh","Vivo","895265"
"chandigarh","Oppo","680083"
"chandigarh","Apple","432139"
"chandigarh","Others","419753"
"chandigarh","Realme","217146"
"chandigarh","OnePlus","156106"
"chandigarh","Motorola","113790"
"chandigarh","Huawei","68946"
"chandigarh","HMD Global","35214"
"chandigarh","Lenovo","28906"
"chandigarh","Micromax","6002"
"chhattisgarh","Xiaomi","12483445"
"chhattisgarh","Vivo","12092519"
"chhattisgarh","Samsung","8846681"
"chhattisgarh","Oppo","6018098"
"chhattisgarh","Realme","4179627"
"chhattisgarh","Others","3977503"
"chhattisgarh","Micromax","3810713"
"chhattisgarh","Apple","846833"
"chhattisgarh","OnePlus","799765"
"chhattisgarh","Motorola","464835"
"chhattisgarh","Lenovo","305245"
"chhattisgarh","Infinix","139942"
"chhattisgarh","Tecno","102422"
"chhattisgarh","Huawei","69286"
"dadra-&-nagar-haveli-&-daman-&-diu","Vivo","919286"
"dadra-&-nagar-haveli-&-daman-&-diu","Xiaomi","896611"
"dadra-&-nagar-haveli-&-daman-&-diu","Samsung","656161"
"dadra-&-nagar-haveli-&-daman-&-diu","Oppo","473673"
"dadra-&-nagar-haveli-&-daman-&-diu","Others","333149"
"dadra-&-nagar-haveli-&-daman-&-diu","Realme","295589"
"dadra-&-nagar-haveli-&-daman-&-diu","Apple","75191"
"dadra-&-nagar-haveli-&-daman-&-diu","Motorola","64437"
"dadra-&-nagar-haveli-&-daman-&-diu","Lenovo","49270"
"dadra-&-nagar-haveli-&-daman-&-diu","Huawei","47764"
"dadra-&-nagar-haveli-&-daman-&-diu","OnePlus","37833"
"dadra-&-nagar-haveli-&-daman-&-diu","Tecno","29047"
"dadra-&-nagar-haveli-&-daman-&-diu","Infinix","17661"
"dadra-&-nagar-haveli-&-daman-&-diu","Micromax","847"
"delhi","Xiaomi","33195661"
"delhi","Samsung","24819601"
"delhi","Vivo","22183059"
"delhi","Oppo","16116814"
"delhi","Others","11510428"
"delhi","Apple","7451137"
"delhi","Realme","6728397"
"delhi","OnePlus","3893527"
"delhi","Motorola","3505158"
"delhi","Huawei","2190753"
"delhi","Lenovo","1553029"
"delhi","Tecno","531475"
"goa","Xiaomi","1725922"
"goa","Samsung","1432103"
"goa","Vivo","994317"
"goa","Oppo","693277"
"goa","Others","558786"
"goa","Realme","400136"
"goa","Apple","334689"
"goa","OnePlus","255352"
"goa","Motorola","206004"
"goa","Huawei","130575"
"goa","Lenovo","85843"
"goa","Tecno","27580"
"gujarat","Vivo","41169122"
"gujarat","Xiaomi","40029600"
"gujarat","Samsung","36467186"
"gujarat","Oppo","25927041"
"gujarat","Others","10807105"
"gujarat","Realme","8615996"
"gujarat","Apple","6529075"
"gujarat","OnePlus","3873751"
"gujarat","Lenovo","2912929"
"gujarat","Motorola","2419876"
"gujarat","Huawei","1407467"
"gujarat","Tecno","572160"
"haryana","Xiaomi","29321118"
"haryana","Samsung","23609405"
"haryana","Vivo","23017669"
"haryana","Oppo","15791359"
"haryana","Others","9385127"
"haryana","Realme","7323573"
"haryana","Apple","5351275"
"haryana","OnePlus","2417106"
"haryana","Motorola","2270677"
"haryana","Huawei","1883984"
"haryana","Lenovo","916263"
"haryana","Tecno","585326"
"himachal-pradesh","Xiaomi","5727927"
"himachal-pradesh","Samsung","2887143"
"himachal-pradesh","Vivo","2651444"
"himachal-pradesh","Others","2610733"
"himachal-pradesh","Oppo","2331176"
"himachal-pradesh","Realme","1323831"
"himachal-pradesh","Apple","489482"
"himachal-pradesh","Motorola","388585"
"himachal-pradesh","Lava","339176"
"himachal-pradesh","Micromax","190090"
"himachal-pradesh","Gionee","184823"
"himachal-pradesh","Tecno","92400"
"himachal-pradesh","Huawei","92092"
"himachal-pradesh","OnePlus","58044"
"himachal-pradesh","Lenovo","44890"
"jammu-&-kashmir","Xiaomi","4995412"
"jammu-&-kashmir","Samsung","2944591"
"jammu-&-kashmir","Vivo","2015796"
"jammu-&-kashmir","Oppo","1385796"
"jammu-&-kashmir","Others","943844"
"jammu-&-kashmir","Realme","757343"
"jammu-&-kashmir","Apple","418495"
"jammu-&-kashmir","OnePlus","213029"
"jammu-&-kashmir","Motorola","173236"
